source,title,description,link,pub_date
news,"대구 동구, 전 부서에 AI 법률 지원 시범 운영","생성형 AI를 활용해 법령 매칭, 판례 요약, 승소율 예측 등 업무에 필요한 법률 자문을 지원하고 행정 서비스의 신속성과 정확도를 높인다는 계획입니다. 동구는 9개월 동안 시범 운영한 뒤 성과를 분석해 2027년부터...",https://n.news.naver.com/mnews/article/657/0000049775?sid=102,"Sat, 28 Mar 2026 10:04:00 +0900"
news,"경과원, AI 인재 3만명 키운다... 경기 'SW미래채움' 강사진 130명 출범","'AI 경기' 도정 방향에 맞춰 생성형 AI 활용 교육 체계를 고도화하기 위해 전문 강사 130여 명을 선발해 위촉식을 진행했다. 이날 행사에는 경기도 AI국장, 경과원 기업성장부문 상임이사, 한국정보과학진흥협회 관계자와...",https://www.pointdaily.co.kr/news/articleView.html?idxno=298566,"Sat, 28 Mar 2026 09:52:00 +0900"
news,"[단독] 가평 선거판 뒤흔드는 AI 저격 괴문서… ""통일교 기사""로 위장한...",참석자들은 생성형 AI 기술을 활용한 허위사실 유포 및 흑색선전에 대한 신속 대응 방안을 논의했다. 공직선거법 제255조에 따라 선거일 90일 전부터 선거일까지...,http://www.breaknews.com/1195862,"Sat, 28 Mar 2026 09:42:00 +0900"
news,[A 금융가 소식] '생산적 금융' 대전환 가속...정책금융·AI 혁신 '원팀'...,"신한은행은 법인 여신 업무에 생성형 AI를 전격 도입해 심사 효율성을 극대화했으며, BNK부산은행은 AI 혁신과 지역 상생을 위해 노사가 손을 맞잡는 등 내부 혁신과 사회적 가치 실현을 위한 은행권의 발걸음이 빨라지고...",https://www.asiaa.co.kr/news/articleView.html?idxno=244733,"Sat, 28 Mar 2026 09:10:00 +0900"
news,"AI 에이전트 확산…""일자리 공포보다 인프라에 주목""","기존 생성형 AI가 사용자의 지속적인 개입을 필요로 했다면, 오픈클로는 스스로 브라우저를 열어 결제나 예약까지 수행하는 등 업무 자동화 수준을 한 단계 끌어올렸다. 미국을 넘어 중국에서는 이를 활용한 1인 기업...",https://www.newsway.co.kr/news/view?ud=2026032712104806836,"Sat, 28 Mar 2026 09:00:00 +0900"
news,"변동성 확대에도 '매수' 일색 ···AI, 리포트 관행 바꿀까","한국투자증권은 AI 분석 서비스인 'AIR(AI Research)'를 통해 중소형주까지 커버리지를 넓혔고, KB증권과 NH투자증권 역시 생성형 AI를 활용해 리포트 요약 및 데이터 분석 서비스를 제공 중이다. 단순히 자료를 찾는 수준을...",https://www.seoulfn.com/news/articleView.html?idxno=624712,"Sat, 28 Mar 2026 09:00:00 +0900"
news,"경기도경제과학진흥원, SW·AI 강사 130명 위촉…청소년 교육 확대","경기도는 'AI 경기' 정책 방향에 맞춰 생성형 AI 활용 교육 체계를 강화하기 위해 전문 강사 130여 명을 선발해 위촉했다. 이날 행사에는 경기도 AI국장, 경과원 기업성장부문 상임이사, 한국정보과학진흥협회 관계자와...",http://www.metroseoul.co.kr/article/20260327500359,"Sat, 28 Mar 2026 08:54:00 +0900"
news,"경남도, 6월 ‘AI 복지플랫폼’ 가동… 음성으로 복지 상담",사진/경남도 경남도가 생성형 인공지능(AI) 기반 통합복지플랫폼 구축의 마무리 단계에 돌입했다. 경남도는 27일 도청 중앙회의실에서 중간 보고회를 열어 개발이 완료 단계에 접어든 플랫폼의 주요 기능을 시연하고 보완...,http://www.metroseoul.co.kr/article/20260327500323,"Sat, 28 Mar 2026 08:48:00 +0900"
news,"하나금융, 전국 80곳 기관서 '시니어 디지털 금융교육' 실시…""안전한 ...","디지털 금융 교육에서는 △모바일 뱅킹 앱 '하나원큐'를 활용한 송금·조회·공과금 납부 등 실습 △생활 편의앱 활용 교육 △생성형 AI 활용법 등 최신 디지털 환경을 반영한 교육을 제공한다. 또한, 스마트폰 보안 설정...",https://www.thepublic.kr/news/articleView.html?idxno=298938,"Sat, 28 Mar 2026 08:46:00 +0900"
news,"경남정보대, 지역 노후 점포에 ‘AI 리모델링 시안’ 지원",사진/경남정보대학교 경남정보대학교 인테리어디자인과 2학년 학생들이 생성형 AI를 활용해 부산 사상구 주례2동 일대 노후 점포의 리모델링 시안을 제작하고 상인에게 직접 제안하는 프로젝트를 진행하고 있다. 12개...,http://www.metroseoul.co.kr/article/20260327500241,"Sat, 28 Mar 2026 08:44:00 +0900"
news,“AI가 몇 명 몫하는데 신입 왜 뽑아요”…스타트업 채용문 더 좁아졌다,다른 스타트업에 일하는 마케터 B씨도 “생성형 AI 하나면 브랜드 홍보에 필요한 글을 작성하는데 어려움이 없다”며 “경력직도 확실한 전문성을 갖추지 않은 이상 채용하지 않을 것 같다”고 밝혔다. 실제 AI로...,https://n.news.naver.com/mnews/article/009/0005657401?sid=101,"Sat, 28 Mar 2026 08:19:00 +0900"
news,"지식재산처, 차세대 지식재산행정시스템 'IPNEX' 구축 본격 추진","논의하고 ▲생성형 AI·지능형 분석 서비스 도입전략, ▲소버린 AI 최신동향을 고려한 AI 인프라·플랫폼 통합 전략 등 AX전환을 중점으로 논의했다고 지재처는 전했다. 지재처 측은 이번 간담회에서 논의된 내용을...",http://www.bizwnews.com/news/articleView.html?idxno=131409,"Sat, 28 Mar 2026 08:16:00 +0900"
news,소프트뱅크 60조 원 대출... 오픈AI 투자 및 AI 인프라 장악하나,"과거 비전펀드의 뼈아픈 실패를 뒤로하고, 이제는 생성형 AI의 심장부인 오픈AI(OpenAI)를 향해 천문학적인 자금을 쏟아부으며 글로벌 AI 생태계의 설계자로 복귀하는 모양새다. 로이터 통신이 27일(현지시각) 보도한...",https://www.g-enews.com/view.php?ud=2026032808062888772bd56fbc3c_1,"Sat, 28 Mar 2026 08:10:00 +0900"
news,"[AI가 삼킨 산업지도②] ""전기가 돈이다""…AI 시대, 돈은 '칩·전력'으로...","［뉴시안= 이태영 기자］생성형 인공지능(AI)이 산업의 경계를 무너뜨리고 있다. 소프트웨어와 콘텐츠 영역에서는 기존 수익모델이 흔들리는 반면, 반도체·전력·클라우드 등 인프라 산업은 새로운 성장 축으로...",http://www.newsian.co.kr/news/articleView.html?idxno=87836,"Sat, 28 Mar 2026 08:10:00 +0900"
news,"금융권, AI 활용 ‘실무 전면 확산’…사기탐지·여신심사까지 확대",신한은행은 생성형 AI 기반 ‘여신심사지원 Agent’를 도입해 기업 분석과 여신 의견서 작성 업무를 지원하고 있다. 업종별 특성을 반영한 분석 엔진을 통해 기업 평가의 정확도를 높인 것이 특징이다. 하나은행은 생성형...,https://www.sentv.co.kr/article/view/sentv202603270055,"Sat, 28 Mar 2026 08:02:00 +0900"
news,"퇴근 막던 보고서, AI가 끝냈다…“참고용 답변은 끝”[AI침투보고서]",생성형 인공지능(AI)의 힘을 빌리자니 회사 시스템에 입력된 빅데이터를 반영할 수 없다. 회사 업무 보고서 스타일을 입력하기도 귀찮다. 그냥 퇴근하지 말라는 이야기 아닐까. 머리를 쥐어 싸매고 있는 내게 옆자리...,https://n.news.naver.com/mnews/article/018/0006244517?sid=101,"Sat, 28 Mar 2026 08:02:00 +0900"
news,[나동준 시선의 ESG] '아픈 몸'도 노동이다,"칼럼니스트 프로필 나동준 칼럼니스트는 디지털전환교육원 수석연구원·숙명여자대학교 객원교수, 시민중심 ESG협회 수석교수이사로 활동하며 생성형 AI와 사회복지 디지털 전환의 접점을 개척하는 혁신가다....",https://www.lecturernews.com/news/articleView.html?idxno=199519,"Sat, 28 Mar 2026 08:02:00 +0900"
news,유관순 로켓 이어 안중근 열차…독립운동가 조롱 AI 영상 확산,"지난달에는 틱톡에서 유관순 열사를 조롱하는 생성형 AI 영상이 퍼졌고, 안중근 의사를 깎아내리거나 이토 히로부미를 치켜세우는 듯한 게시물까지 확인되며 논란이 이어졌다. 틱톡 측은 당시 정책 위반을 확인한 뒤 관련...",https://m.entertain.naver.com/article/468/0001228926,"Sat, 28 Mar 2026 08:02:00 +0900"
news,"AI 기술과 만난 유전자 검사, 시간적 한계 극복해 희귀질환 더 빠르고 정...","40개 이상 특화된 도구 통합한 AI 에이전트 개발, 사전 학습 없이 희귀질환 감별 진단 마이크로소프트(Microsoft) 연구팀은 생성형 AI를 활용해 유전학 전문가들이 희귀질환 진단을 위해 WGS 및 기타 임상 데이터를...",https://www.medigatenews.com/news/241397925,"Sat, 28 Mar 2026 07:38:00 +0900"
news,"부산교육청, AI 수업 설계 사례집 보급",생성형 AI 확산에 맞춰 질문 중심 수업과 프롬프트 설계 역량을 강화하겠다는 취지다. 교육청은 부산형 AI 수업을 위한 ‘AI 적용 수업설계 사례집’을 책과 전자 파일 형태로 제작해 각급 학교에 배포한다고 밝혔다. 이번...,https://www.hangyo.com/news/article.html?no=107219,"Sat, 28 Mar 2026 07:22:00 +0900"
news,[테크톡노트] 딥시크 데자뷔…구글 '터보퀀트'의 등장,"메모리 6분의 1 절감…AI 비용 구조 흔든다 챗봇과 생성형 인공지능(AI)이 일상화되면서 보이지 않는 부담도 커지고 있다. 바로 메모리다. AI가 더 똑똑해질수록 더 많은 데이터를 기억해야 하고, 이는 곧 막대한 비용으로...",https://n.news.naver.com/mnews/article/001/0015987083?sid=105,"Sat, 28 Mar 2026 07:14:00 +0900"
news,"한컴이노스트림-한성대, AI·디지털 인재 양성 위한 MOU 체결","양 기관은 생성형 AI, 온디바이스 AI, 자동차 소프트웨어 등 한컴이노스트림이 보유한 다양한 교육 프로그램을 기반으로 실무 중심 커리큘럼을 운영한다. 특히 직무별 AI 에이전트 구축, ROS2(Robot Operating System 2) 기반...",https://www.hellot.net/news/article.html?no=111683,"Sat, 28 Mar 2026 07:02:00 +0900"
news,"하닉 -6%, 샌디스크 -11%… 구글 ‘터보퀀트’ 대체 뭐길래","시장이 터보퀀트를 보고 그동안 챗GPT 등 대규모 언어 모델(LLM) 기반 생성형 AI에 필요한 메모리, 특히 디램(DRAM)과 고대역폭 메모리(HBM)의 수요가 줄어들 것으로 예상했기 때문이다. 터보퀀트는 LLM이 추론할 때...",https://n.news.naver.com/mnews/article/005/0001839754?sid=101,"Sat, 28 Mar 2026 07:02:00 +0900"
news,'올해만 118조' 한국 기업들 긴장하는 이유가…'무서운 경고' [글로벌 머...,"그러나 생성형 AI 모델 훈련과 초거대 데이터센터 구축, 막대한 전력 인프라 확보 경쟁이 동시다발적으로 벌어지면서 상황은 바뀌었다. OECD에 따르면 구글, 마이크로소프트, 아마존 등 9개 주요 AI 기업들은 작년에만...",https://n.news.naver.com/mnews/article/015/0005268038?sid=101,"Sat, 28 Mar 2026 07:01:00 +0900"
news,[AI세계속으로]성인모드 보류·소라 철수…솎아내기 나선 오픈AI,앤스로픽의 생성형 AI 모델 '클로드'는 AI를 전쟁에 활용하는 도널드 트럼프 미국 행정부에 맞선 이후 이용자 수가 늘어나는 효과를 보고 있다. 지난달 28일 미국 앱스토어 무료 앱 순위에서 클로드는 챗GPT를 제치고...,https://n.news.naver.com/mnews/article/277/0005741396?sid=105,"Sat, 28 Mar 2026 07:00:00 +0900"
news,증권사 IT서비스 개발 붐 꺾였나…개발비 4년만에 감소,"대표적인 사례로 생성형 인공지능(AI)을 기반으로 한 모바일 트레이딩 시스템(MTS) ‘IBKS Wings’를 출시했으며, 토큰증권과 스테이블코인 사업 진출을 위한 내부 준비도 진행 중이다. 유안타증권 역시 지난해부터 STO와...",https://www.ceoscoredaily.com/page/view/2026032416083362630,"Sat, 28 Mar 2026 07:00:00 +0900"
news,"꽉꽉 눌러 담은 99만원 아이폰…""이것 참 아쉽네""[테크로그]",이달 초 공식 출시된 17e에는 애플의 자체 생성형 AI 플랫폼 '애플 인텔리전스'가 내장됐다. 플래그십 기본형과 같은 칩셋이 사용됐고 전작(아이폰 16e)과 같은 가격에 저장공간이 2배(256GB)로 늘어 AI 기능이 원활하게...,https://n.news.naver.com/mnews/article/008/0005336378?sid=105,"Sat, 28 Mar 2026 07:00:00 +0900"
news,"터보퀀트 충격에 삼성전자·하이닉스 휘청? ""메모리, 최종 승자 될 것""",생성형 AI 대표 기술인 LLM(대규모언어모델)은 대화를 이어가기 위해 이전 대화 내용을 함께 처리해야해 메모리 사용량이 크게 늘어나는 구조였다. 하지만 구글에 따르면 터보퀀트 기술을 활용할 경우 LLM의 임시...,https://n.news.naver.com/mnews/article/008/0005336371?sid=101,"Sat, 28 Mar 2026 06:45:00 +0900"
news,"한컴이노스트림-한성대, AI·디지털 인재 양성 위한 뭉쳤다","양 기관은 생성형 AI, 온디바이스 AI, 자동차 소프트웨어 등 한컴이노스트림이 보유한 다양한 교육 프로그램을 기반으로 실무 중심 커리큘럼을 운영한다. 특히 직무별 AI 에이전트 구축, ROS2(Robot Operating System 2) 기반...",https://www.gametoc.co.kr/news/articleView.html?idxno=107416,"Sat, 28 Mar 2026 06:26:00 +0900"
news,"네트워크약국 금지법안, 30일 법사위 심의…약사사회 '촉각'",트워크약국 금지와 생성형 AI 의약사 광고 규제를 담은 약사법 개정안이 빠르게 국회 행보를 밟고 있다. 법제사법위원회는 오는 30일 오후 임시회의를 열고 타위원회 소관 법안 127건을 처리할 예정이다. 국회에 따르면 이...,https://www.kpanews.co.kr/news/articleView.html?idxno=531877,"Sat, 28 Mar 2026 06:26:00 +0900"
news,"하이브랩, IPO 주관사에 SK증권 주관사 선정…내년 하반기 코스닥 입성...",먼저 B2B 특화 버티컬 AI 워크포털 '아비코(AVIKO)'는 다양한 생성형 AI 모델을 통합 관리하며 브랜드 정체성을 반영한 콘텐츠 생산을 지원하는 솔루션이다. 15년간 축적된 프로젝트 데이터 자산을 기반으로 최적의...,https://www.econovill.com/news/articleView.html?idxno=735170,"Sat, 28 Mar 2026 06:04:00 +0900"
news,"[RSAC 2026 핵심 트랜드] AI 보안 경쟁 본격화, 사이버보안 산업의 판이...","올해 행사에서 가장 많이 반복된 질문은 ""어떤 생성형 AI를 쓰고 있나""가 아니라 ""우리 회사 안에서 어떤 AI 에이전트가 돌아가고 있고, 그 에이전트가 무슨 데이터를 보고 무엇을 실행하는가""였다. 지오디 AI의 수상은...",https://www.dailysecu.com/news/articleView.html?idxno=205960,"Sat, 28 Mar 2026 06:04:00 +0900"
news,"""인터넷에 더 긁어올 게 없다"" 인류 지식 거덜 나자 AI가 '가짜'로 자가...",클로드·챗GPT·제미나이 등 생성형 AI가 폭발적으로 성장하면서 이제 인터넷상에 존재하는 양질의 인간 데이터는 사실상 고갈 상태에 직면했다는 진단이 나온다. 소위 '데이터 절벽'이라 불리는 이 위기 속에서 글로벌...,https://www.g-enews.com/view.php?ud=202603280603353948f4f9a46d5b_1,"Sat, 28 Mar 2026 06:04:00 +0900"
news,독립운동가 조롱 콘텐츠 확산…처벌 어려운 ‘사자 모욕’ 공백,"독립운동가를 겨냥한 생성형 AI 콘텐츠가 잇따라 등장하면서 논란이 커지고 있다. 3·1절을 앞두고 유관순 열사를 희화화한 영상에 이어, 안중근 의사의 순국일을 조롱하는 영상까지 확산하면서 사회적 공분이 커지고 있다....",https://www.kukinews.com/article/view/kuk202603270137,"Sat, 28 Mar 2026 06:02:00 +0900"
news,"[블록체人] 비피엠지 “스테이블코인, 송금 인프라 구축 후 결제·정산 ...","또 블록체인, AI 기술, 게임 사업 역량을 확장해 AI로 모니터링하고 블록체인상에 이력이 보관되는 생산관리 설루션, 중소 게임 개발사를 위해 게임 개발과 운영을 지원하는 설루션, 생성형 AI와 게임 콘텐츠가 결합된...",https://n.news.naver.com/mnews/article/366/0001152320?sid=101,"Sat, 28 Mar 2026 06:01:00 +0900"
news,"""AI 답변 비용 최대 6배 낮춘다?""…구글 '터보퀀트' 뭐길래 [터보퀀트 쇼...",생성형 AI 확산 이후 빅테크는 GPU와 메모리 확보에 막대한 자금을 투입해 왔다. 실제 서비스 단계에서의 추론 비용이 급증하면서 단순한 하드웨어 확장만으로는 수익성 확보가 어려워졌다. 이에 빅테크와 학계는 모델을...,https://n.news.naver.com/mnews/article/003/0013851228?sid=105,"Sat, 28 Mar 2026 06:00:00 +0900"
